,Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Local_X,Local_Y,Global_X,Global_Y,Veh_Len,Veh_Wid,Veh_Class,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Intersection,Section,Direction,Movement,Preceding_Veh,Following_Veh,Spacing,Headway
227937,763,4708,881,1163501100,-12.564,2058.076,2230779.324,1377514.721,15.0,6.5,2,36.79,0.0,1,114,201,5,0,4,1,760,0,81.67,2.22
228078,763,4849,881,1163515200,-4.638,1652.4260000000002,2230828.591,1377113.236,15.0,6.5,2,7.97,1.12,0,114,201,4,0,4,1,0,0,0.0,0.0
228282,763,5053,881,1163535600,-15.193,1241.139,2230813.511,1376706.406,15.0,6.5,2,22.75,12.27,0,114,201,3,0,4,1,0,0,0.0,0.0
228639,763,5410,881,1163571300,-9.988999999999999,776.684,2230583.11,1376307.687,15.0,6.5,2,16.11,10.02,0,114,201,2,0,4,1,0,0,0.0,0.0
228781,763,5552,881,1163585500,-13.005999999999998,232.792,2230519.6569999997,1375766.561,15.0,6.5,2,44.13,-10.02,0,114,201,1,0,4,1,0,0,0.0,0.0
229445,773,4724,847,1163502700,-9.513,2057.842,2230782.375,1377514.957,17.3,7.5,2,37.55,0.0,1,114,201,5,0,4,1,760,0,133.53,3.56
229555,773,4834,847,1163513700,-13.708,1649.93,2230819.574,1377110.5869999998,17.3,7.5,2,35.21,5.92,0,114,201,4,0,4,1,0,0,0.0,0.0
229733,773,5012,847,1163531500,-26.09,1244.817,2230803.383,1376712.7140000002,17.3,7.5,2,46.03,10.02,0,114,201,3,0,4,1,0,0,0.0,0.0
230109,773,5388,847,1163569100,-23.506999999999998,777.357,2230570.537,1376312.76,17.3,7.5,2,4.93,4.38,0,114,201,2,0,4,1,0,0,0.0,0.0
230261,773,5540,847,1163584300,-22.928,234.43400000000003,2230510.097,1375769.468,17.3,7.5,2,45.09,-10.02,0,114,201,1,0,4,1,0,0,0.0,0.0
230316,786,4748,1511,1163505100,-8.207,2052.7070000000003,2230784.451,1377510.082,14.9,6.7,2,37.15,0.0,1,114,201,5,0,4,1,773,0,84.92,2.29
230426,786,4858,1511,1163516100,-13.190999999999999,1651.649,2230820.065,1377112.315,14.9,6.7,2,34.31,-5.1,0,114,201,4,0,4,1,0,0,0.0,0.0
230604,786,5036,1511,1163533900,-24.737,1244.12,2230804.6040000003,1376711.668,14.9,6.7,2,39.57,10.02,0,114,201,3,0,4,1,0,0,0.0,0.0
230987,786,5419,1511,1163572200,-24.973000000000003,777.3489999999999,2230569.3419999997,1376313.649,14.9,6.7,2,4.07,-9.12,0,114,201,2,0,4,1,0,0,0.0,0.0
231353,786,5785,1511,1163608800,-25.326999999999998,233.673,2230507.76,1375770.024,14.9,6.7,2,0.05,0.0,0,114,201,1,0,4,1,0,0,0.0,0.0
232656,794,4775,1494,1163507800,-22.704,2062.349,2230768.65,1377517.392,15.0,7.0,2,29.55,0.0,2,114,223,5,0,4,1,743,0,608.88,20.61
232775,794,4894,1494,1163519700,-14.075999999999999,1651.046,2230819.1890000002,1377111.705,15.0,7.0,2,46.5,7.84,0,114,223,4,0,4,1,0,0,0.0,0.0
232941,794,5060,1494,1163536300,-28.092,1244.994,2230801.476,1376713.541,15.0,7.0,2,49.93,10.02,0,114,223,3,0,4,1,0,0,0.0,0.0
233320,794,5439,1494,1163574200,-21.179000000000002,777.638,2230573.255,1376313.001,15.0,7.0,2,10.34,-12.27,0,114,223,2,0,4,1,0,0,0.0,0.0
